"New York : Oxford University Press, c1997"	"http://suncat.csun.edu/record=b1711452~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(That+Man+An+Insider's+Portrait+of+Franklin+D.+Roosevelt)+and+a:(Jackson)
		
"Oxford ; New York : Oxford University Press, 2002"	"http://suncat.csun.edu/record=b1844056~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : Columbia University Press, 1985"	"http://suncat.csun.edu/record=b1464402~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"xxv, 310 p. : ill. ; 24 cm"	"http://suncat.csun.edu/record=b1460282~S9"" id=""recordnum""></a></div>"	nomatch
		
"Urbana : University  Illinois Press, c1987"	"http://suncat.csun.edu/record=b1485386~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Urbana : University of Illinois Press, c1993"	"http://suncat.csun.edu/record=b1655457~S9"" id=""recordnum""></a></div>"	nomatch
		
210 p. : ill. ; 24 cm	"http://suncat.csun.edu/record=b1651276~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(Becoming+Citizens+The+Emergence+and+Development+of+the+California+Women's+Movement,+1880-1911)+and+a:(Gullett)"
		
"viii, 245 p. ; 24 cm"	"http://suncat.csun.edu/record=b1757441~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(Beyond+Cannery+Row+Sicilian+Women,+Immigration,+and+Community+in+Monterey,+California,+1915-99)+and+a:(McKibben)"
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Chinese+Experience+in+America)+and+a:(Tsai)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Transplanted+A+History+of+Immigrants+in+Urban+America)+and+a:(Bodnar)
nopub	nolink	nomatch
		
